sample,group,short_reads_1,short_reads_2,longs_reads
SRR20576754,SRS14235634,SRR20576754_1.fastq.gz,SRR20576754_2.fastq.gz,
SRR20576755,SRS14235633,SRR20576755_1.fastq.gz,SRR20576755_2.fastq.gz,
SRR20576756,SRS14235632,SRR20576756_1.fastq.gz,SRR20576756_2.fastq.gz,
SRR20576757,SRS14235631,SRR20576757_1.fastq.gz,SRR20576757_2.fastq.gz,
SRR20576758,SRS14235630,SRR20576758_1.fastq.gz,SRR20576758_2.fastq.gz,
SRR20576759,SRS14235629,SRR20576759_1.fastq.gz,SRR20576759_2.fastq.gz,
SRR20576760,SRS14235628,SRR20576760_1.fastq.gz,SRR20576760_2.fastq.gz,
SRR20576761,SRS14235627,SRR20576761_1.fastq.gz,SRR20576761_2.fastq.gz,
SRR20576762,SRS14235625,SRR20576762_1.fastq.gz,SRR20576762_2.fastq.gz,
SRR20576763,SRS14235626,SRR20576763_1.fastq.gz,SRR20576763_2.fastq.gz,
SRR20576764,SRS14235624,SRR20576764_1.fastq.gz,SRR20576764_2.fastq.gz,
